director_name,actor_1_name,actor_2_name,actor_3_name,genres,language,imdb_score,movie_title
Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Action Comedy Sci-Fi Western,English,4.8,wild wild west
Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Action Adventure Fantasy Horror Thriller,English,5.2,the mummy: tomb of the dragon emperor
David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Action Adventure Comedy Sci-Fi,English,6.9,suicide squad
Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Comedy Family Fantasy,English,5.4,evan almighty
Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,Action Adventure Sci-Fi,English,7.9,edge of tomorrow
Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Action Adventure Sci-Fi Thriller,English,6.1,waterworld
Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Action Adventure Sci-Fi Thriller,English,5.8,g.i. joe: the rise of cobra
Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Adventure Animation Comedy Drama Family Fantasy,English,8.3,inside out
Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,Adventure Drama Family Fantasy,English,7.8,the jungle book
Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Action Adventure Sci-Fi,English,7.0,iron man 2
Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Action Adventure Drama Fantasy,English,6.1,snow white and the huntsman
Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Action Adventure Family Fantasy Romance,English,7.0,maleficent
Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Action Adventure Drama Sci-Fi,English,7.6,dawn of the planet of the apes
Roland Joffé,Tamsin Egerton,Alice Englert,Bipasha Basu,Action Adventure Romance Sci-Fi,English,4.5,the lovers
Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Action Adventure Drama Fantasy,English,6.3,47 ronin
Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,Action Adventure Sci-Fi,English,7.8,captain america: the winter soldier
Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,Adventure Animation Comedy Family Fantasy,English,6.4,shrek forever after
Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,Action Adventure Family Mystery Sci-Fi,English,6.5,tomorrowland
Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Action Adventure Animation Comedy Drama Family Sci-Fi,English,7.9,big hero 6
Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Adventure Animation Comedy Family Sci-Fi,English,7.8,wreck-it ralph
Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,Adventure Animation Family Fantasy,English,6.6,the polar express
Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,Action Adventure Sci-Fi,English,5.5,independence day: resurgence
Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,Adventure Animation Family Fantasy,English,8.2,how to train your dragon
Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Action Sci-Fi,English,6.4,terminator 3: rise of the machines
James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,Action Adventure Sci-Fi,English,8.1,guardians of the galaxy
Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Adventure Drama Sci-Fi,English,8.6,interstellar
Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Action Adventure Sci-Fi Thriller,English,8.8,inception
Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Action Adventure Drama Horror Sci-Fi,Japanese,8.2,godzilla resurgence
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,English,7.9,the hobbit: an unexpected journey
Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,Action Crime Thriller,English,6.7,the fast and the furious
David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,Drama Fantasy Romance,English,7.8,the curious case of benjamin button
Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Action Adventure Sci-Fi,English,7.8,x-men: first class
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi,English,6.6,the hunger games: mockingjay - part 2
Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,Action Adventure Family Fantasy,English,6.1,the sorcerer's apprentice
Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,Action Adventure Drama Thriller,English,5.6,poseidon
James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy,English,6.4,alice through the looking glass
Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,Adventure Animation Comedy Family Fantasy,English,6.1,shrek the third
Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,Action Adventure Fantasy,English,7.3,warcraft
Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,Action Adventure Sci-Fi,English,6.6,terminator genisys
Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,Adventure Family Fantasy,English,6.3,the chronicles of narnia: the voyage of the dawn treader
Michael Bay,Jennifer Garner,Jaime King,Mako,Action Drama History Romance War,English,6.1,pearl harbor
Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,Action Adventure Sci-Fi,English,7.1,transformers
Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Action Adventure Biography Drama History Romance War,English,5.5,alexander
David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Adventure Family Fantasy Mystery,English,7.5,harry potter and the order of the phoenix
Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,English,7.6,harry potter and the goblet of fire
Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,Action Drama,English,6.4,hancock
Francis Lawrence,Will Smith,Alice Braga,Willow Smith,Drama Horror Sci-Fi,English,7.2,i am legend
Tim Burton,Johnny Depp,Christopher Lee,David Kelly,Adventure Comedy Family Fantasy,English,6.7,charlie and the chocolate factory
Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Animation Comedy Family Fantasy,English,8.0,ratatouille
Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,Action Adventure,English,8.3,batman begins
Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Action Adventure Animation Comedy Family,English,6.7,madagascar: escape 2 africa
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Adventure Comedy Family Fantasy,English,5.9,night at the museum: battle of the smithsonian
Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Action Adventure Fantasy Sci-Fi Thriller,English,6.7,x-men origins: wolverine
Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,Action Sci-Fi,English,6.7,the matrix revolutions
Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Adventure Animation Comedy Family Fantasy Musical,English,7.6,frozen
Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Action Sci-Fi,English,7.2,the matrix reloaded
Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy,English,7.1,thor: the dark world
George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,Action Adventure Sci-Fi Thriller,English,8.1,mad max: fury road
Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Mystery Thriller,English,6.7,angels & demons
Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy,English,7.0,thor
Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,Adventure Animation Comedy Drama Family,English,6.9,bolt
Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Action Adventure Animation Comedy Family Fantasy Sci-Fi,English,5.1,g-force
Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,Action Adventure Fantasy,English,5.8,wrath of the titans
Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,Comedy Fantasy Horror,English,6.2,dark shadows
Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,Action Adventure Thriller,English,7.4,mission: impossible - rogue nation
Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,Drama Fantasy Horror Thriller,English,5.8,the wolfman
David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action Adventure Drama Romance,English,6.6,the legend of tarzan
Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,Adventure Animation Comedy Family,English,6.2,bee movie
Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,Action Adventure Animation Comedy Family,English,7.3,kung fu panda 2
M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,Action Adventure Family Fantasy,English,4.2,the last airbender
J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,Action Adventure Thriller,English,6.9,mission: impossible iii
Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven,Action Drama Thriller,English,6.4,white house down
Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,Action Adventure Animation Comedy Family Sci-Fi,English,5.4,mars needs moms
David Bowers,Hugh Jackman,Kate Winslet,David Suchet,Adventure Animation Comedy Family,English,6.7,flushed away
Joe Wright,Hugh Jackman,Cara Delevingne,Nonso Anozie,Adventure Family Fantasy,English,5.8,pan
Rob Minkoff,Ty Burrell,Zach Callison,Karan Brar,Adventure Animation Comedy Family Sci-Fi,English,6.9,mr. peabody & sherman
Wolfgang Petersen,Brad Pitt,Orlando Bloom,Julian Glover,Adventure,English,7.2,troy
Eric Darnell,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,Adventure Animation Comedy Family,English,6.9,madagascar 3: europe's most wanted
Lee Tamahori,Toby Stephens,Colin Salmon,Rick Yune,Action Adventure Thriller,English,6.1,die another day
Paul Feig,Ed Begley Jr.,Kate McKinnon,Zach Woods,Action Comedy Fantasy Sci-Fi,English,5.5,ghostbusters
Michael Bay,Bruce Willis,Steve Buscemi,Will Patton,Action Adventure Sci-Fi Thriller,English,6.6,armageddon
Barry Sonnenfeld,Will Smith,Rosario Dawson,Rip Torn,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,English,6.1,men in black ii
Robert Zemeckis,Robin Wright,Anthony Hopkins,Sebastian Roché,Action Adventure Animation Fantasy,English,6.3,beowulf
Alessandro Carloni,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,Action Adventure Animation Comedy Family,English,7.2,kung fu panda 3
Brad Bird,Tom Cruise,Jeremy Renner,Michael Nyqvist,Action Adventure Thriller,English,7.4,mission: impossible - ghost protocol
Peter Ramsey,Hugh Jackman,Kamil McFadden,Khamani Griffin,Adventure Animation Family Fantasy,English,7.3,rise of the guardians
Dean Parisot,John Michael Higgins,Richard Burgi,David Herman,Comedy Crime,English,6.1,fun with dick and jane
Edward Zwick,Tom Cruise,Tony Goldwyn,Chad Lindberg,Action Drama History War,English,7.7,the last samurai
Ridley Scott,Christian Bale,María Valverde,Ben Mendelsohn,Action Adventure Drama,English,6.1,exodus: gods and kings
J.J. Abrams,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,Action Adventure Sci-Fi,English,8.0,star trek
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance,English,7.3,spider-man
Dean DeBlois,Gerard Butler,Djimon Hounsou,America Ferrera,Action Adventure Animation Comedy Family Fantasy,English,7.9,how to train your dragon 2
Alex Proyas,Gerard Butler,Elodie Yung,Bryan Brown,Action Adventure Fantasy,English,5.5,gods of egypt
Rob Cohen,Sam Shepard,Joe Morton,Richard Roxburgh,Action Adventure Sci-Fi Thriller,English,5.0,stealth
Zack Snyder,Matt Frewer,Billy Crudup,Stephen McHattie,Action Drama Mystery Sci-Fi,English,7.7,watchmen
Richard Donner,Jet Li,Rene Russo,Darlene Love,Action Crime Thriller,English,6.6,lethal weapon 4
Ang Lee,Kevin Rankin,Regi Davis,Celia Weston,Action Sci-Fi,English,5.7,hulk
Jon M. Chu,Channing Tatum,Dwayne Johnson,Elodie Yung,Action Adventure Sci-Fi Thriller,English,5.8,g.i. joe: retaliation
Breck Eisner,Matthew McConaughey,Rainn Wilson,Delroy Lindo,Action Adventure Comedy Thriller,English,6.0,sahara
Hironobu Sakaguchi,Steve Buscemi,Ming-Na Wen,Jean Simmons,Action Adventure Animation Fantasy Romance Sci-Fi,English,6.4,final fantasy: the spirits within
Joe Johnston,Chris Evans,Dominic Cooper,Hayley Atwell,Action Adventure Sci-Fi,English,6.9,captain america: the first avenger
Michael Apted,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,Action Adventure Thriller,English,6.4,the world is not enough
Peter Weir,James D'Arcy,Lee Ingleby,David Threlfall,Action Adventure Drama History War,English,7.4,master and commander: the far side of the world
Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner,Adventure Drama Fantasy Romance,English,5.5,the twilight saga: breaking dawn - part 2
George Miller,Robin Williams,Brad Pitt,Common,Animation Comedy Family Musical,English,5.9,happy feet 2
Louis Leterrier,Ty Burrell,Peter Mensah,William Hurt,Action Adventure Sci-Fi,English,6.8,the incredible hulk
unknown,Don Johnson,Philip Michael Thomas,John Diehl,Action Crime Drama Mystery Thriller,English,7.5,miami vice            
Steven Spielberg,Mark Rylance,Penelope Wilton,Rafe Spall,Adventure Family Fantasy,English,6.8,the bfg
Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Lukas Haas,Adventure Drama Thriller Western,English,8.1,the revenant
David Soren,Ryan Reynolds,Snoop Dogg,Ben Schwartz,Adventure Animation Comedy Family Sport,English,6.5,turbo
Gore Verbinski,Johnny Depp,Ray Winstone,Stephen Root,Adventure Animation Comedy Family Western,English,7.2,rango
Eric Darnell,Benedict Cumberbatch,Annet Mahendru,Andy Richter,Adventure Animation Comedy Family,English,6.7,penguins of madagascar
Paul Greengrass,Matt Damon,Edgar Ramírez,Albert Finney,Action Mystery Thriller,English,8.1,the bourne ultimatum
Mark Osborne,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,Action Adventure Animation Comedy Family,English,7.6,kung fu panda
Peyton Reed,Judy Greer,Hayley Atwell,T.I.,Action Adventure Comedy Sci-Fi,English,7.4,ant-man
Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,Adventure Sci-Fi Thriller,English,7.6,the hunger games: catching fire
Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner,Adventure Drama Fantasy Romance,English,5.5,the twilight saga: breaking dawn - part 2
Tim Johnson,Jim Parsons,Matt Jones,April Winchell,Adventure Animation Comedy Family Fantasy Sci-Fi,English,6.7,home
Steven Spielberg,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,Adventure Sci-Fi Thriller,English,6.5,war of the worlds
Michael Bay,Will Smith,Henry Rollins,Jordi Mollà,Action Comedy Crime Thriller,English,6.6,bad boys ii
Chris Miller,Salma Hayek,Constance Marie,Amy Sedaris,Action Adventure Animation Comedy Family Fantasy,English,6.7,puss in boots
Phillip Noyce,Angelina Jolie Pitt,Andre Braugher,August Diehl,Action Crime Mystery Thriller,English,6.4,salt
Darren Aronofsky,Anthony Hopkins,Emma Watson,Logan Lerman,Action Adventure Drama,English,5.8,noah
Steven Spielberg,Toby Jones,Mackenzie Crook,Tony Curran,Action Adventure Family Mystery,English,7.4,the adventures of tintin
Alfonso Cuarón,Daniel Radcliffe,Gary Oldman,Rupert Grint,Adventure Family Fantasy Mystery,English,7.8,harry potter and the prisoner of azkaban
Baz Luhrmann,Essie Davis,Bryan Brown,Eddie Baroo,Adventure Drama Romance War,English,6.6,australia
M. Night Shyamalan,Will Smith,Zoë Kravitz,Glenn Morshower,Action Adventure Sci-Fi,English,4.9,after earth
Eric Leighton,Alfre Woodard,D.B. Sweeney,Della Reese,Adventure Animation Family Thriller,English,6.5,dinosaur
Matt Birch,Rupert Grint,Dave Legeno,Ralph Ineson,Action Fantasy,English,7.5,harry potter and the deathly hallows: part ii
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Adventure Comedy Family Fantasy,English,6.2,night at the museum: secret of the tomb
Tom McGrath,J.K. Simmons,Brad Pitt,Will Ferrell,Action Animation Comedy Family Sci-Fi,English,7.3,megamind
Chris Columbus,Daniel Radcliffe,Fiona Shaw,Verne Troyer,Adventure Family Fantasy,English,7.5,harry potter and the sorcerer's stone
Robert Schwentke,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,Action Comedy Fantasy,English,5.6,r.i.p.d.
Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Action Adventure Drama Horror Sci-Fi,Japanese,8.2,godzilla resurgence
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,English,8.1,pirates of the caribbean: the curse of the black pearl
Matt Birch,Rupert Grint,Toby Jones,Alfred Enoch,Fantasy,English,6.4,harry potter and the deathly hallows: part i
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi Thriller,English,6.7,the hunger games: mockingjay - part 1
Ron Howard,Tom Hanks,Seth Gabel,Jürgen Prochnow,Mystery Thriller,English,6.6,the da vinci code
Carlos Saldanha,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,Adventure Animation Comedy Family Musical,English,6.4,rio 2
Bryan Singer,Hugh Jackman,Bruce Davison,Aaron Stanford,Action Adventure Fantasy Sci-Fi Thriller,English,7.5,x-men 2
Justin Lin,Paul Walker,Vin Diesel,Dwayne Johnson,Action Crime Thriller,English,7.3,fast five
Guy Ritchie,Robert Downey Jr.,Eddie Marsan,Paul Anderson,Action Adventure Crime Mystery Thriller,English,7.5,sherlock holmes: a game of shadows
Louis Leterrier,Liam Neeson,Jason Flemyng,Alexa Davalos,Action Adventure Fantasy,English,5.8,clash of the titans
Paul Verhoeven,Ronny Cox,Rachel Ticotin,Marshall Bell,Action Sci-Fi,English,7.5,total recall
John McTiernan,Tony Curran,Vladimir Kulich,Clive Russell,Action Adventure History,English,6.6,the 13th warrior
Tony Gilroy,Jeremy Renner,Scott Glenn,Stacy Keach,Action Adventure Thriller,English,6.7,the bourne legacy
Joel Schumacher,Michael Gough,Vivica A. Fox,John Glover,Action,English,3.7,batman & robin
Ron Howard,Clint Howard,T.J. Thyne,Molly Shannon,Comedy Family Fantasy,English,6.0,how the grinch stole christmas
Roland Emmerich,Jake Gyllenhaal,Dennis Quaid,Sela Ward,Action Adventure Sci-Fi Thriller,English,6.4,the day after tomorrow
